SIF_STR;NAZIV;NASLOV;KRAJ;POSTA;SKUP1;X;Y
52;HERMES SOFTLAB d.d.;LITIJSKA CESTA 51;1000 LJUBLJANA;1000;1000 LITIJSKA CESTA 51;14.54633072;46.04793769
73;Oä LOG DRAGOMER;äOLSKA ULICA 1;1351 BREZOVICA;1351;1351 äOLSKA ULICA 1;14.37678258;46.01329231
81;Oä PLANINA PRI RAKEKU;PLANINA 152;6232 PLANINA;6232;6232 PLANINA 152;14.24661177;45.82604718
100;SET - 35m3;BRN»I»EVA ULICA 31;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 31;14.54881002;46.09753340
101;DELO TISKARNA;DUNAJSKA CESTA 5;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 5;14.50613244;46.05936970
202;TAPRO TRGOVINA d.o.o. - arhiva;CELOVäKA CESTA 280;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 280;14.47448576;46.08747266
247;McDONALDS-SLOPAK-KU;»OPOVA ULICA 7;1000 LJUBLJANA;1000;1000 »OPOVA ULICA 7;14.50444091;46.05193934
283;JUNTEZ s.p.;KRMELJ 1;8296 KRMELJ;8296;8296 KRMELJ 1;15.19053302;45.97877449
378;Oä RIHARD JAKOPI»;DER»EVA ULICA 1;1000 LJUBLJANA;1000;1000 DER»EVA ULICA 1;14.48890442;46.06775203
382;Oä TRNOVO;KARUNOVA ULICA 14;1000 LJUBLJANA;1000;1000 KARUNOVA ULICA 14;14.50245159;46.04173637
417;Oä HINKO SMREKAR;GORAZDOVA ULICA 16;1000 LJUBLJANA;1000;1000 GORAZDOVA ULICA 16;14.48842544;46.07344540
423;Oä DOBROVA;CESTA 7. MAJA 20;1356 DOBROVA;1356;1356 CESTA 7. MAJA 20;14.41196637;46.05667613
427;Oä ANTONA GLOBO»NIKA;CESTA NA KREMENCO 2;6230 POSTOJNA;6230;6230 CESTA NA KREMENCO 2;14.21345778;45.77286160
444;TISKARNA KOPER;ULICA 15.MAJA 19;6000 KOPER-dostava;6000;6000 ULICA 15.MAJA 19;13.72967473;45.53713039
560;MKT PRINT, d.d.;DUNAJSKA CESTA 123;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 123;14.51081787;46.07623336
563;Oä äENTVID;PRUäNIKOVA 98;1000 LJUBLJANA;1000;1210 PRUäNIKOVA ULICA 98;14.46596523;46.09811346
569;Oä VRHOVCI;CESTA NA BOKALCE 1;1000 LJUBLJANA;1000;1000 CESTA NA BOKALCE 1;14.45498204;46.04433690
573;CAMERA d.o.o.;OB DOLEN. éELEZ. 182;1000 LJUBLJANA;1000;1000 OB DOLENJSKI éELEZNICI 182;14.53426582;46.02736564
575;SANOLABOR d.d. - slopak;LESKOäKOVA 4;1000 LJUBLJANA;1000;1000 LESKOäKOVA CESTA 4;14.55411890;46.06614348
578;PRO-MAK d.o.o.;TRéAäKA 135;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 135;14.46847560;46.03716610
598;TISKARNA JOéE MOäKRI»;KAJUHOVA ULICA 2;1000 LJUBLJANA;1000;1000 KAJUHOVA ULICA 2;14.53388587;46.06656695
616;Oä äKOFLJICA;KLANEC 5;1291 äKOFLJICA;1291;1291 KLANEC 5;14.57684422;45.97927566
618;Oä LEDINA;KOMENSKEGA 19;1000 LJUBLJANA-dosta;1000;1000 KOMENSKEGA ULICA 19;14.51253063;46.05341362
627;Oä LITIJA;CESTA KOMANDANTA STANETA 2;1270 LITIJA;1270;1270 CESTA KOMANDANTA STANETA 2;14.83247274;46.05698845
653;Oä DORNBERK;GREGOR»I»EVA ULICA 30;5294 DORNBERK;5294;5294 GREGOR»I»EVA ULICA 30;13.73781285;45.88762115
661;Oä DOBROVA;CESTA 7. MAJA 20;1356 DOBROVA;1356;1356 CESTA 7. MAJA 20;14.41196637;46.05667613
673;Oä SIMON JENKO;SMLEDNIK 73;1216 SMLEDNIK;1216;1216 SMLEDNIK 73;14.43052632;46.16746697
693;POSLOVNI CENTER FUéINE;NOVE FUéINE 33;1000 LJUBLJANA;1000;1000 NOVE FUéINE 33;14.55880955;46.05493254
702;PEKARNA PE»JAK;DOLENJSKA CESTA 442;1291 äKOFLJICA;1291;1291 DOLENJSKA CESTA 442;14.56545364;45.99018338
722;ZDRAVSTVENI DOM KAMNIK;NOVI TRG 26;1240 KAMNIK;1240;1240 NOVI TRG 26;14.61327470;46.22138515
723;AHAC&CO, d.o.o. - prej AVTOSERVIS P;MALA LOKA 15;1230 DOMéALE;1230;1230 MALA LOKA 15;14.61061525;46.10734207
742;NEFRODIAL;BRN»I»EVA ULICA 13;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 13;14.54086894;46.09908549
750;ZZZS;MIKLOäI»EVA 24;1000 LJUBLJANA;1000;1000 MIKLOäI»EVA CESTA 24;14.50769572;46.05505755
753;Oä VODICE;OB äOLI 2;1217 VODICE;1217;1217 OB äOLI 2;14.49562908;46.18555969
765;TRIVAL KOMPOZITI;BAKOVNIK 3;1240 KAMNIK;1240;1240 BAKOVNIK 3;14.60000831;46.20961610
1000;PREVOZ ZA LASTNE POTREBE - VI»;POD JEéAMI 3;1000 LJUBLJANA-dosta;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
1001;PREVOZ ZA LASTNE POTREBE - les v TI;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
1003;PREVOZ ZA LASTNE POTREBE - mko v Le;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
1004;PREVOZ ZA LASTNE POTREBE - steklo C;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
1005;PREVOZ ZA LASTNE POTREBE - mko iz L;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
1014;SALOMON d.o.o.;PAPIRNIäKI TRG 17;1000 LJUBLJANA;1000;1260 PAPIRNIäKI TRG 17;14.59301696;46.04980427
2010;PEKARNA BLATNIK - GALJEVICA;OB DOL. éELEZNICI 12;1000 LJUBLJANA;1000;1000 OB DOLENJSKI éELEZNICI 12;14.51797256;46.03686290
2015;SLOVENIJALES;DUNAJSKA CESTA 22;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 22;14.50930056;46.06211858
2022;ONKOLOäKI INäTITUT - H;ZALOäKA CESTA 2;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 2;14.52078596;46.05221572
2026;ZPIZ;KOLODVORSKA 15;1000 LJUBLJANA;1000;1000 KOLODVORSKA ULICA 15;14.50972020;46.05703670
2034;DOM UPOKOJENCEV CENTER;TABOR 10;1000 LJUBLJANA;1000;1000 TABOR 10;14.51466897;46.05420549
2045;MIDO - SKB;KOPRSKA 98;1000 LJUBLJANA-dosta;1000;1000 KOPRSKA ULICA 98;14.48281025;46.03363255
2046;TOBA»NA LJUBLJANA;TOBA»NA 5;1000 LJUBLJANA-dosta;1000;1000 TOBA»NA ULICA 5;14.49402976;46.04858275
2047;EKONOMSKA FAKULTETA;KARDELJEVA PLOä»AD17;1000 LJUBLJANA;1000;1000 KARDELJEVA PLOä»AD 17;14.51642228;46.07401671
2055;KEMOFARMACIJA;CESTA NA BRDO 100;1000 LJUBLJANA;1000;1000 CESTA NA BRDO 100;14.46204190;46.04783434
2078;MERCATOR MO2-C FUéINE;NOVE FUéINE 41;1000 LJUBLJANA;1000;1000 NOVE FUéINE 41;14.56344862;46.05499526
2086;AUTOCOMMERCE SOV - slopak - ne upor;BARAGOVA ULICA 5;1000 LJUBLJANA;1000;1000 BARAGOVA ULICA 5;14.51307988;46.07776358
2088;ONKOLOäKI INäTITUT A;VRAZOV TRG 2;1000 LJUBLJANA;1000;1000 VRAZOV TRG 2;14.51816093;46.05091806
2092;EMONA TISKARNA;äMARTINSKA 130;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 130;14.53865582;46.06810683
2093;BANKA SLOVENIJE;SLOVENSKA CESTA 35;1000 LJUBLJANA;1000;1000 SLOVENSKA CESTA 35;14.50336160;46.05269048
2098;MERCATOR MODNA HIäA;NAZORJEVA 4A;1000 LJUBLJANA;1000;1000 NAZORJEVA ULICA 4A;14.50564850;46.05274534
2099;TISKARNA SCHWARZ;KOPRSKA 106D;1000 LJUBLJANA;1000;1000 KOPRSKA ULICA 106D;14.48332684;46.03225823
2125;DELO VZDRéEVANJE;SLOVEN»EVA 19;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 19;14.50610249;46.08019910
2127;A COSMOS, d.d. - papir, les;CELOVäKA CESTA 182;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 182;14.48373461;46.07879597
2128;AC KONDOR d.o.o.;LETALIäKA 9A;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 9A;14.54728593;46.06235571
2129;ADD d.o.o.;TBILISIJSKA 85;1000 LJUBLJANA;1000;1000 TBILISIJSKA ULICA 85;14.47848594;46.03602435
2130;ACORD 92;STEGNE 13;1000 LJUBLJANA;1000;1000 STEGNE 13;14.48416834;46.08499728
2131;ALEä MILENA s.p.;TOPOLE 8a;1000 LJUBLJANA;1000;1234 TOPOLE 8A;14.55796630;46.17883469
2134;ATRIK d.o.o. (RIKO);LITIJSKA CESTA 261;1000 LJUBLJANA;1000;1000 LITIJSKA CESTA 261;14.59175189;46.04257465
2136;AUTODELTA d.o.o.;DUNAJSKA CESTA 122;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 122;14.51237137;46.07599703
2137;AUTOEMONA d.d.;CELOVäKA CESTA 252;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 252;14.47758002;46.08432863
2138;AVTOHIäA MALGAJ d.o.o.;TRéAäKA 108;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 108;14.47345652;46.04052721
2139;AVTOHIäA VI» - slopak;TBILISIJSKA 49;1000 LJUBLJANA;1000;1000 TBILISIJSKA ULICA 49;14.47862572;46.03903022
2140;AVTOLI»ARSTVO PLUT, d.o.o.;STANEéI»E 10;1210 LJ-äENTVID;1210;1210 STANEéI»E 10;14.43473639;46.11022750
2141;AVTOMERKUR PSO BEéIGRAD d.d.;SAMOVA 14;1000 LJUBLJANA;1000;1000 SAMOVA ULICA 14;14.50325966;46.06699630
