"SIF_STR","NAZIV","NASLOV","POSTA","KRAJ","TEKST","NAZIV1","SKUP","X","Y","TOT_DIST_km","TOT_TIME_min","TOT_TIME_h_min"
7174,"INSTA CENTER, d.o.o.","KRAIGHERJEVA 19 A",2230,"LENART V SLOVENSKIH GORICAH","NULL","PE LENART","2230 KRAIGHERJEVA 19A","15,83388406","46,57924135",1,3,00:03
8674,"STREŠNA DELA BOGDAN MARKIČ, s.p.","TRŽAŠKA CESTA 143",1370,"LOGATEC","NULL","PE LENART","1370 TRŽAŠKA CESTA 143","14,20171582","45,90566303",356,327,05:27
7219,"*CEROD, d.o.o. - prevoz za lastne potrebe*","KETTEJEV DREVORED 3",8000,"NOVO MESTO","INTERNO","PE LENART","8000 KETTEJEV DREVORED 3","15,1629836","45,80607579",334,330,05:30
7038,"*CETIS D.D.* ne uporabljaj!!!!!!!!!","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7056,"*ČISTO MESTO PTUJ, d.o.o. - prevoz za lastne","DORNAVSKA CESTA 26",2250,"PTUJ","INTERNO","PE LENART","2250 DORNAVSKA CESTA 26","15,90401894","46,42337426",57,84,01:24
7218,"*CRO VRHNIKA, d.o.o. - prevoz za lastne potre","POT NA TOJNICE 40",1360,"VRHNIKA","INTERNO","PE LENART","1360 POT NA TOJNICE 40","14,31317563","45,97402242",327,294,04:54
7469,"*KOMUNALA KRANJ d.o.o. -biološki odpaki*","SAVSKA LOKA 33",4000,"KRANJ","MKO VHOD","PE LENART","4000 SAVSKA LOKA 33","14,36950468","46,21988173",340,318,05:18
7081,"*PREVOZ ZA LASTNE POTREBE - LENART*","INDUSTRIJSKA ULICA 2",2230,"LENART V SLOVENSKIH GORICAH","INTERNO","PE LENART","2230 INDUSTRIJSKA ULICA 2","15,84044615","46,58171234",0,0,00:00
7257,"*ROKS & W, d.o.o. - prevoz za lastne potrebe*","KAMNOGORIŠKA CESTA 6",1000,"LJUBLJANA","INTERNO","PE LENART","1000 KAMNOGORIŠKA CESTA 6","14,47191898","46,07726657",296,271,04:31
7220,"*SNAGA, d.o.o. - prevoz za lastne potrebe*","NASIPNA ULICA 64",2000,"MARIBOR","INTERNO","PE LENART","2000 NASIPNA ULICA 64","15,65602874","46,54877865",44,54,00:54
7418,"1 A FRONTE, d.o.o.","KOLODVORSKA ULICA 33",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 KOLODVORSKA ULICA 33","15,58015628","46,38960992",103,102,01:42
7398,"A SERVIS, d.o.o.","KROŠKA ULICA 58",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 KROŠKA ULICA 58","16,14978908","46,64919109",70,73,01:13
7562,"A-TEZA d.o.o.","BELORUSKA ULICA 7",2000,"MARIBOR","OSTALO","PE LENART","2000 BELORUSKA ULICA 7","15,65029411","46,53923879",46,56,00:56
7588,"AB PRODUKT TRGOVINA","LJUTOMERSKA CESTA 29C",9250,"GORNJA RADGONA","OSTALO","PE LENART","9250 LJUTOMERSKA CESTA 29C","16,01041257","46,66366283",37,43,00:43
7528,"AGRO STYRIA, d.o.o.","PESNICA PRI MARIBORU 48",2211,"PESNICA PRI MARIBORU","SLOPAK - KU 1","PE LENART","2211 PESNICA PRI MARIBORU 48","15,67580548","46,61117327",34,36,00:36
7528,"AGRO STYRIA, d.o.o. - slopak","PESNICA PRI MARIBORU 48",2211,"PESNICA PRI MARIBORU","SLOPAK - KU 1","PE LENART","2211 PESNICA PRI MARIBORU 48","15,67580548","46,61117327",34,36,00:36
7528,"AGRO STYRIA, d.o.o. - slopak","PESNICA PRI MARIBORU 48",2211,"PESNICA PRI MARIBORU","SLOPAK - KU 1","PE LENART","2211 PESNICA PRI MARIBORU 48","15,67580548","46,61117327",34,36,00:36
7585,"AGROCENTER LENART, d.o.o.","KRAIGHERJEVA ULICA 19A",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 KRAIGHERJEVA ULICA 19A","15,83388406","46,57924135",1,3,00:03
7415,"AGROCOM, d.o.o.","LJUBLJANSKA CESTA 99",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 LJUBLJANSKA CESTA 99","15,56163736","46,38041764",95,119,01:59
